Filipino,English
Ako,I
Ikaw/Ka,You
Siya,He/She/It
Tayo,We (inclusive)
Kami,We (exclusive)
Sila,They
Ito,This
Iyan/Iyon,That
Dito,Here
Doon,There
Oo,Yes
Hindi,No
Siguro,Maybe
Paki,Please
Salamat,Thank you
Pasensiya na,Excuse me
Kumusta,Hello
Paalam,Goodbye
Magandang umaga,Good morning
Magandang hapon,Good afternoon
Magandang gabi,Good evening
Kumusta ka,How are you
Mabuti ako,I am fine
Ano ang pangalan mo,What is your name
Ang pangalan ko ay,My name is
Magkano,How much
Nasaan,Where is
Bakit,Why
Kailan,When
Gusto,Want
Kailangan,Need
Pag-ibig/Mahal,Love
Gusto,Like
Magsalita,Speak
Naiintindihan,Understand
Kumain,Eat
Uminom,Drink
Matulog,Sleep
Lumakad,Walk
Tumakbo,Run
Pumunta,Go
Pumunta,Come
Magbigay,Give
Kumuha,Take
Magtanong,Ask
Alam,Know
Makita,See
Makinig,Hear
Pakiramdam,Feel
Gumawa,Make
Gumawa,Do
Sabihin,Say
Sabihin,Tell
Ipakita,Show
Trabaho,Work
Mag-aral,Study
Magbasa,Read
Magsulat,Write
Buksan,Open
Isara,Close
Magsimula,Start
Itigil,Stop
Tapos na,Finished
Maghintay,Wait
Tulungan,Help
Tumawag,Call
Tingnan,Look
Hanapin,Find
Bumili,Buy
Magbenta,Sell
Magbayad,Pay
Maghugas,Wash
Linisin,Clean
Magluto,Cook
Tumira/Mabuhay,Live
Mamatay,Die
Matanda,Old
Bago,New
Malaki,Big
Maliit,Small
Mahaba,Long
Maikli,Short
Mabuti/Maganda,Good
Masama,Bad
Masaya,Happy
Malungkot,Sad
Galit,Angry
Pagod,Tired
Mainit,Hot
Malamig,Cold
Madali,Easy
Mahirap,Difficult
Mabilis,Fast
Mabagal,Slow
Maaga,Early
Huli,Late
Mataas,High
Mababa,Low
Malapit,Near
Malayo,Far
Araw,Day
Gabi,Night
Umaga,Morning
Hapon,Afternoon
Gabi,Evening
Oras,Time
Oras,Hour
Minuto,Minute
Segundo,Second
Ngayon,Today
Bukas,Tomorrow
Kahapon,Yesterday
Linggo,Week
Buwan,Month
Taon,Year
Pera,Money
Bangko,Bank
Tindahan,Store
Pamilihan,Market
Bahay,House
Silid,Room
Kama,Bed
Silya,Chair
Mesa,Table
Pinto,Door
Bintana,Window
Tubig,Water
Pagkain,Food
Tinapay,Bread
Kanin,Rice
Isda,Fish
Karne,Meat
Gulay,Vegetable
Prutas,Fruit
Kape,Coffee
Tsaa,Tea
Gatas,Milk
Asukal,Sugar
Asin,Salt
Kutsara,Spoon
Tinedor,Fork
Kutsilyo,Knife
Plato,Plate
Tasa,Cup
Sasakyan,Car
Bus,Bus
Tren,Train
Eroplano,Airplane
Daan,Road
Kalye,Street
Lungsod,City
Bayan,Town
Bansa,Country
Mundo,World
Tao,Person
Lalaki,Man
Babae,Woman
Bata,Child
Kaibigan,Friend
Pamilya,Family
Ama,Father
Ina,Mother
Kapatid na lalaki,Brother
Kapatid na babae,Sister
Anak na lalaki,Son
Anak na babae,Daughter
Alaga,Pet
Aso,Dog
Pusa,Cat
Ibon,Bird
Puno,Tree
Bulaklak,Flower
Araw (bituin),Sun
Buwan,Moon
Bituin,Star
Langit,Sky
Ulan,Rain
Ulap,Cloud
Hangin,Wind
Apoy,Fire
Hangin,Air
Lupa,Land
Tubig (noun),Water (noun)
Aklat,Book
Papel,Paper
Lapis,Pencil
Bolpen,Pen
Bag,Bag
Damit,Clothes
Sapatos,Shoe
Kulay,Color
Pula,Red
Asul,Blue
Berde,Green
Dilaw,Yellow
Itim,Black
Puti,White
Liwanag,Light
Madilim,Dark
Malinis,Clean (adj)
Marumi,Dirty
Malakas,Strong
Mahina,Weak
Malambot,Soft
Matigas,Hard
Mabigat,Heavy
Magaan,Light (weight)
Puno,Full
Walang laman,Empty
Una,First
Huli,Last
Susunod,Next
Bago,Before
Pagkatapos,After
Lagi,Always
Hindi kailanman,Never
Madalas,Often
Minsan,Sometimes
Di magtatagal,Soon
Ngayon,Now
