English,Filipino
I,Ako
You,Ikaw/Ka
He/She/It,Siya
We (inclusive),Tayo
We (exclusive),Kami
They,Sila
This,Ito
That,Iyan/Iyon
Here,Dito
There,Doon
Yes,Oo
No,Hindi
Maybe,Siguro
Please,Paki
Thank you,Salamat
Excuse me,Pasensiya na
Hello,Kumusta
Goodbye,Paalam
Good morning,Magandang umaga
Good afternoon,Magandang hapon
Good evening,Magandang gabi
How are you,Kumusta ka
I am fine,Mabuti ako
What is your name,Ano ang pangalan mo
My name is,Ang pangalan ko ay
How much,Magkano
Where is,Nasaan
Why,Bakit
When,Kailan
Want,Gusto
Need,Kailangan
Love,Pag-ibig/Mahal
Like,Gusto
Speak,Magsalita
Understand,Naiintindihan
Eat,Kumain
Drink,Uminom
Sleep,Matulog
Walk,Lumakad
Run,Tumakbo
Go,Pumunta
Come,Pumunta
Give,Magbigay
Take,Kumuha
Ask,Magtanong
Know,Alam
See,Makita
Hear,Makinig
Feel,Pakiramdam
Make,Gumawa
Do,Gumawa
Say,Sabihin
Tell,Sabihin
Show,Ipakita
Work,Trabaho
Study,Mag-aral
Read,Magbasa
Write,Magsulat
Open,Buksan
Close,Isara
Start,Magsimula
Stop,Itigil
Finished,Tapos na
Wait,Maghintay
Help,Tulungan
Call,Tumawag
Look,Tingnan
Find,Hanapin
Buy,Bumili
Sell,Magbenta
Pay,Magbayad
Wash,Maghugas
Clean,Linisin
Cook,Magluto
Live,Tumira/Mabuhay
Die,Mamatay
Old,Matanda
New,Bago
Big,Malaki
Small,Maliit
Long,Mahaba
Short,Maikli
Good,Mabuti/Maganda
Bad,Masama
Happy,Masaya
Sad,Malungkot
Angry,Galit
Tired,Pagod
Hot,Mainit
Cold,Malamig
Easy,Madali
Difficult,Mahirap
Fast,Mabilis
Slow,Mabagal
Early,Maaga
Late,Huli
High,Mataas
Low,Mababa
Near,Malapit
Far,Malayo
Day,Araw
Night,Gabi
Morning,Umaga
Afternoon,Hapon
Evening,Gabi
Time,Oras
Hour,Oras
Minute,Minuto
Second,Segundo
Today,Ngayon
Tomorrow,Bukas
Yesterday,Kahapon
Week,Linggo
Month,Buwan
Year,Taon
Money,Pera
Bank,Bangko
Store,Tindahan
Market,Pamilihan
House,Bahay
Room,Silid
Bed,Kama
Chair,Silya
Table,Mesa
Door,Pinto
Window,Bintana
Water,Tubig
Food,Pagkain
Bread,Tinapay
Rice,Kanin
Fish,Isda
Meat,Karne
Vegetable,Gulay
Fruit,Prutas
Coffee,Kape
Tea,Tsaa
Milk,Gatas
Sugar,Asukal
Salt,Asin
Spoon,Kutsara
Fork,Tinedor
Knife,Kutsilyo
Plate,Plato
Cup,Tasa
Car,Sasakyan
Bus,Bus
Train,Tren
Airplane,Eroplano
Road,Daan
Street,Kalye
City,Lungsod
Town,Bayan
Country,Bansa
World,Mundo
Person,Tao
Man,Lalaki
Woman,Babae
Child,Bata
Friend,Kaibigan
Family,Pamilya
Father,Ama
Mother,Ina
Brother,Kapatid na lalaki
Sister,Kapatid na babae
Son,Anak na lalaki
Daughter,Anak na babae
Pet,Alaga
Dog,Aso
Cat,Pusa
Bird,Ibon
Tree,Puno
Flower,Bulaklak
Sun,Araw (bituin)
Moon,Buwan
Star,Bituin
Sky,Langit
Rain,Ulan
Cloud,Ulap
Wind,Hangin
Fire,Apoy
Air,Hangin
Land,Lupa
Water (noun),Tubig (noun)
Book,Aklat
Paper,Papel
Pencil,Lapis
Pen,Bolpen
Bag,Bag
Clothes,Damit
Shoe,Sapatos
Color,Kulay
Red,Pula
Blue,Asul
Green,Berde
Yellow,Dilaw
Black,Itim
White,Puti
Light,Liwanag
Dark,Madilim
Clean (adj),Malinis
Dirty,Marumi
Strong,Malakas
Weak,Mahina
Soft,Malambot
Hard,Matigas
Heavy,Mabigat
Light (weight),Magaan
Full,Puno
Empty,Walang laman
First,Una
Last,Huli
Next,Susunod
Before,Bago
After,Pagkatapos
Always,Lagi
Never,Hindi kailanman
Often,Madalas
Sometimes,Minsan
Soon,Di magtatagal
Now,Ngayon
Later,Mamaya
Once,Minsan
Twice,Dalawang beses
Many,Marami
Few,Ilan
All,Lahat
Some,Ilan
None,Wala
Much,Marami
Little (quantity),Konti
Another,Iba pa
Each,Bawat isa
Every,Bawat
Also,Gayundin
Just,Lang
